"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_A_url","Input.image_B_url","Answer.choice","Approve","Reject"
"3S8APUMBJXJZCP678YE1C15K5CYFB4","3H5KS3F36PDKK5Z1DUR88KBWRMVYZY","Choose between image A or B","Choose between image A or B based on the criteria mentioned","image, comparison, choose, abtest","$0.01","Thu Dec 15 17:16:33 PST 2016","33","BatchId:2632460;","3600","172800","Fri Dec 16 17:16:33 PST 2016","","","31N2WW6R9RQWWE0OJ74WJ22TQR03FB","A28P3ZGZB3XG9P","Submitted","Thu Dec 15 18:36:41 PST 2016","Thu Dec 15 18:36:53 PST 2016","Sat Dec 17 18:36:53 PST 2016","","","","12","0% (0/0)","0% (0/0)","0% (0/0)","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Embedder.png","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Multilevel_Embedder.png","optionB"
"3S8APUMBJXJZCP678YE1C15K5CYFB4","3H5KS3F36PDKK5Z1DUR88KBWRMVYZY","Choose between image A or B","Choose between image A or B based on the criteria mentioned","image, comparison, choose, abtest","$0.01","Thu Dec 15 17:16:33 PST 2016","33","BatchId:2632460;","3600","172800","Fri Dec 16 17:16:33 PST 2016","","","32RIADZISS4QIFOEP59E06DETHN4SD","A12SMSQ6D5227J","Submitted","Thu Dec 15 18:12:26 PST 2016","Thu Dec 15 18:12:36 PST 2016","Sat Dec 17 18:12:36 PST 2016","","","","10","0% (0/0)","0% (0/0)","0% (0/0)","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Embedder.png","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Multilevel_Embedder.png","optionB"
"3S8APUMBJXJZCP678YE1C15K5CYFB4","3H5KS3F36PDKK5Z1DUR88KBWRMVYZY","Choose between image A or B","Choose between image A or B based on the criteria mentioned","image, comparison, choose, abtest","$0.01","Thu Dec 15 17:16:33 PST 2016","33","BatchId:2632460;","3600","172800","Fri Dec 16 17:16:33 PST 2016","","","32UTUBMZ7GWQV6QRYFO6J73R2DVVBC","A2XFGTPDO4KQ2B","Submitted","Thu Dec 15 18:01:28 PST 2016","Thu Dec 15 18:01:31 PST 2016","Sat Dec 17 18:01:31 PST 2016","","","","3","0% (0/0)","0% (0/0)","0% (0/0)","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Embedder.png","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Multilevel_Embedder.png","optionB"
"3S8APUMBJXJZCP678YE1C15K5CYFB4","3H5KS3F36PDKK5Z1DUR88KBWRMVYZY","Choose between image A or B","Choose between image A or B based on the criteria mentioned","image, comparison, choose, abtest","$0.01","Thu Dec 15 17:16:33 PST 2016","33","BatchId:2632460;","3600","172800","Fri Dec 16 17:16:33 PST 2016","","","33M4IA01QG15F2CBURBE775G0A2RXK","A1FBO95OVBYOH1","Submitted","Thu Dec 15 17:28:12 PST 2016","Thu Dec 15 17:29:29 PST 2016","Sat Dec 17 17:29:29 PST 2016","","","","77","0% (0/0)","0% (0/0)","0% (0/0)","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Embedder.png","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Multilevel_Embedder.png","optionA"
"3S8APUMBJXJZCP678YE1C15K5CYFB4","3H5KS3F36PDKK5Z1DUR88KBWRMVYZY","Choose between image A or B","Choose between image A or B based on the criteria mentioned","image, comparison, choose, abtest","$0.01","Thu Dec 15 17:16:33 PST 2016","33","BatchId:2632460;","3600","172800","Fri Dec 16 17:16:33 PST 2016","","","33TIN5LC04AOB76Z56XUZ0CVWUU9YP","A2BKLF1MNZ3L4X","Submitted","Thu Dec 15 17:56:34 PST 2016","Thu Dec 15 17:56:40 PST 2016","Sat Dec 17 17:56:40 PST 2016","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Embedder.png","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Multilevel_Embedder.png","optionB"
"3S8APUMBJXJZCP678YE1C15K5CYFB4","3H5KS3F36PDKK5Z1DUR88KBWRMVYZY","Choose between image A or B","Choose between image A or B based on the criteria mentioned","image, comparison, choose, abtest","$0.01","Thu Dec 15 17:16:33 PST 2016","33","BatchId:2632460;","3600","172800","Fri Dec 16 17:16:33 PST 2016","","","373ERPL3YO8YYL3RPHAHI4KANEFRT2","A3B58QWMTBXVE0","Submitted","Thu Dec 15 17:34:55 PST 2016","Thu Dec 15 17:35:04 PST 2016","Sat Dec 17 17:35:04 PST 2016","","","","9","0% (0/0)","0% (0/0)","0% (0/0)","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Embedder.png","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Multilevel_Embedder.png","optionA"
"3S8APUMBJXJZCP678YE1C15K5CYFB4","3H5KS3F36PDKK5Z1DUR88KBWRMVYZY","Choose between image A or B","Choose between image A or B based on the criteria mentioned","image, comparison, choose, abtest","$0.01","Thu Dec 15 17:16:33 PST 2016","33","BatchId:2632460;","3600","172800","Fri Dec 16 17:16:33 PST 2016","","","37TRT2X24QRH4BQXHQANGJSX7QVBJE","A109CH3492UU42","Submitted","Thu Dec 15 18:47:16 PST 2016","Thu Dec 15 18:47:19 PST 2016","Sat Dec 17 18:47:19 PST 2016","","","","3","0% (0/0)","0% (0/0)","0% (0/0)","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Embedder.png","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Multilevel_Embedder.png","optionA"
"3S8APUMBJXJZCP678YE1C15K5CYFB4","3H5KS3F36PDKK5Z1DUR88KBWRMVYZY","Choose between image A or B","Choose between image A or B based on the criteria mentioned","image, comparison, choose, abtest","$0.01","Thu Dec 15 17:16:33 PST 2016","33","BatchId:2632460;","3600","172800","Fri Dec 16 17:16:33 PST 2016","","","38F71OA9GTWXI08YPP9BF1BZQIJFM5","AA7BTDZQNHW5","Submitted","Thu Dec 15 19:02:49 PST 2016","Thu Dec 15 19:02:54 PST 2016","Sat Dec 17 19:02:54 PST 2016","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Embedder.png","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Multilevel_Embedder.png","optionB"
"3S8APUMBJXJZCP678YE1C15K5CYFB4","3H5KS3F36PDKK5Z1DUR88KBWRMVYZY","Choose between image A or B","Choose between image A or B based on the criteria mentioned","image, comparison, choose, abtest","$0.01","Thu Dec 15 17:16:33 PST 2016","33","BatchId:2632460;","3600","172800","Fri Dec 16 17:16:33 PST 2016","","","39LNWE0K4UW05ZFXZZ6I985LJWFUI4","ARM2CBQGJCQ5Z","Submitted","Thu Dec 15 19:14:51 PST 2016","Thu Dec 15 19:17:04 PST 2016","Sat Dec 17 19:17:04 PST 2016","","","","133","0% (0/0)","0% (0/0)","0% (0/0)","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Embedder.png","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Multilevel_Embedder.png","optionB"
"3S8APUMBJXJZCP678YE1C15K5CYFB4","3H5KS3F36PDKK5Z1DUR88KBWRMVYZY","Choose between image A or B","Choose between image A or B based on the criteria mentioned","image, comparison, choose, abtest","$0.01","Thu Dec 15 17:16:33 PST 2016","33","BatchId:2632460;","3600","172800","Fri Dec 16 17:16:33 PST 2016","","","3B2X28YI3WF5GGBQX7GY7FNSLKEB6B","AU5Y7J1PF0UIT","Submitted","Thu Dec 15 19:25:21 PST 2016","Thu Dec 15 19:25:24 PST 2016","Sat Dec 17 19:25:24 PST 2016","","","","3","0% (0/0)","0% (0/0)","0% (0/0)","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Embedder.png","http://plprobably.s3.amazonaws.com/1_Fast_Multipole_Multilevel_Embedder.png","optionA"
